PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,IsAlone,Title
65,0,1,1,19.0,27.7208,1,1,1
66,1,3,1,35.0,15.2458,1,0,4
67,1,2,0,29.0,10.5,0,1,3
68,0,3,1,19.0,8.1583,0,1,1
69,1,3,0,17.0,7.925,0,0,2
70,0,3,1,26.0,8.6625,0,0,1
71,0,2,1,32.0,10.5,0,1,1
72,0,3,0,16.0,46.9,0,0,2
73,0,2,1,21.0,73.5,0,1,1
74,0,3,1,26.0,14.4542,1,0,1
75,1,3,1,32.0,56.4958,0,1,1
76,0,3,1,25.0,7.65,0,1,1
77,0,3,1,26.0,7.8958,0,1,1
78,0,3,1,36.0,8.05,0,1,1
79,1,2,1,0.83,29.0,0,0,4
80,1,3,0,30.0,12.475,0,1,2
81,0,3,1,22.0,9.0,0,1,1
82,1,3,1,29.0,9.5,0,1,1
83,1,3,0,36.0,7.7875,2,1,2
84,0,1,1,28.0,47.1,0,1,1
85,1,2,0,17.0,10.5,0,1,2
86,1,3,0,33.0,15.85,0,0,3
87,0,3,1,16.0,34.375,0,0,1
88,0,3,1,23.0,8.05,0,1,1
89,1,1,0,23.0,263.0,0,0,2
90,0,3,1,24.0,8.05,0,1,1
91,0,3,1,29.0,8.05,0,1,1
92,0,3,1,20.0,7.8542,0,1,1
93,0,1,1,46.0,61.175,0,0,1
94,0,3,1,26.0,20.575,0,0,1
95,0,3,1,59.0,7.25,0,1,1
96,0,3,1,42.0,8.05,0,1,1
97,0,1,1,71.0,34.6542,1,1,1
98,1,1,1,23.0,63.3583,1,0,1
99,1,2,0,34.0,23.0,0,0,3
100,0,2,1,34.0,26.0,0,0,1
101,0,3,0,28.0,7.8958,0,1,2
102,0,3,1,28.0,7.8958,0,1,1
103,0,1,1,21.0,77.2875,0,0,1
104,0,3,1,33.0,8.6542,0,1,1
105,0,3,1,37.0,7.925,0,0,1
106,0,3,1,28.0,7.8958,0,1,1
107,1,3,0,21.0,7.65,0,1,2
108,1,3,1,29.0,7.775,0,1,1
109,0,3,1,38.0,7.8958,0,1,1
110,1,3,0,29.0,24.15,2,0,2
111,0,1,1,47.0,52.0,0,1,1
112,0,3,0,14.5,14.4542,1,0,2
113,0,3,1,22.0,8.05,0,1,1
114,0,3,0,20.0,9.825,0,0,2
115,0,3,0,17.0,14.4583,1,1,2
116,0,3,1,21.0,7.925,0,1,1
117,0,3,1,70.5,7.75,2,1,1
118,0,2,1,29.0,21.0,0,0,1
119,0,1,1,24.0,247.5208,1,0,1
120,0,3,0,2.0,31.275,0,0,2
121,0,2,1,21.0,73.5,0,0,1
122,0,3,1,24.0,8.05,0,1,1
123,0,2,1,32.5,30.0708,1,0,1
124,1,2,0,32.5,13.0,0,1,2
125,0,1,1,54.0,77.2875,0,0,1
126,1,3,1,12.0,11.2417,1,0,4
127,0,3,1,36.0,7.75,2,1,1
128,1,3,1,24.0,7.1417,0,1,1
129,1,3,0,37.0,22.3583,1,0,2
130,0,3,1,45.0,6.975,0,1,1
131,0,3,1,33.0,7.8958,1,1,1
132,0,3,1,20.0,7.05,0,1,1
133,0,3,0,47.0,14.5,0,0,3
134,1,2,0,29.0,26.0,0,0,3
135,0,2,1,25.0,13.0,0,1,1
136,0,2,1,23.0,15.0458,1,1,1
137,1,1,0,19.0,26.2833,0,0,2
138,0,1,1,37.0,53.1,0,0,1
139,0,3,1,16.0,9.2167,0,1,1
140,0,1,1,24.0,79.2,1,1,1
141,0,3,0,35.0,15.2458,1,0,3
142,1,3,0,22.0,7.75,0,1,2
143,1,3,0,24.0,15.85,0,0,3
144,0,3,1,19.0,6.75,2,1,1
145,0,2,1,18.0,11.5,0,1,1
146,0,2,1,19.0,36.75,0,0,1
147,1,3,1,27.0,7.7958,0,1,1
148,0,3,0,9.0,34.375,0,0,2
149,0,2,1,36.5,26.0,0,0,1
150,0,2,1,42.0,13.0,0,1,5
151,0,2,1,51.0,12.525,0,1,5
152,1,1,0,22.0,66.6,0,0,3
153,0,3,1,55.5,8.05,0,1,1
154,0,3,1,40.5,14.5,0,0,1
155,0,3,1,16.0,7.3125,0,1,1
156,0,1,1,51.0,61.3792,1,0,1
157,1,3,0,16.0,7.7333,2,1,2
158,0,3,1,30.0,8.05,0,1,1
159,0,3,1,43.0,8.6625,0,1,1
160,0,3,1,20.0,69.55,0,0,4
161,0,3,1,44.0,16.1,0,0,1
162,1,2,0,40.0,15.75,0,1,3
163,0,3,1,26.0,7.775,0,1,1
164,0,3,1,17.0,8.6625,0,1,1
165,0,3,1,1.0,39.6875,0,0,4
166,1,3,1,9.0,20.525,0,0,4
167,1,1,0,30.0,55.0,0,0,3
168,0,3,0,45.0,27.9,0,0,3
169,0,1,1,31.0,25.925,0,1,1
170,0,3,1,28.0,56.4958,0,1,1
171,0,1,1,61.0,33.5,0,1,1
172,0,3,1,4.0,29.125,2,0,4
173,1,3,0,1.0,11.1333,0,0,2
174,0,3,1,21.0,7.925,0,1,1
175,0,1,1,56.0,30.6958,1,1,1
176,0,3,1,18.0,7.8542,0,0,1
177,0,3,1,29.0,25.4667,0,0,4
178,0,1,0,50.0,28.7125,1,1,2
179,0,2,1,30.0,13.0,0,1,1
180,0,3,1,36.0,0.0,0,1,1
181,0,3,0,25.0,69.55,0,0,2
182,0,2,1,36.0,15.05,1,1,1
183,0,3,1,9.0,31.3875,0,0,4
184,1,2,1,1.0,39.0,0,0,4
185,1,3,0,4.0,22.025,0,0,2
186,0,1,1,24.0,50.0,0,1,1
187,1,3,0,25.0,15.5,2,0,3
188,1,1,1,45.0,26.55,0,1,1
189,0,3,1,40.0,15.5,2,0,1
190,0,3,1,36.0,7.8958,0,1,1
191,1,2,0,32.0,13.0,0,1,3
192,0,2,1,19.0,13.0,0,1,1
193,1,3,0,19.0,7.8542,0,0,2
194,1,2,1,3.0,26.0,0,0,4
195,1,1,0,44.0,27.7208,1,1,3
196,1,1,0,58.0,146.5208,1,1,2
197,0,3,1,23.0,7.75,2,1,1
198,0,3,1,42.0,8.4042,0,0,1
199,1,3,0,16.0,7.75,2,1,2
200,0,2,0,24.0,13.0,0,1,2
201,0,3,1,28.0,9.5,0,1,1
202,0,3,1,34.0,69.55,0,0,1
203,0,3,1,34.0,6.4958,0,1,1
204,0,3,1,45.5,7.225,1,1,1
205,1,3,1,18.0,8.05,0,1,1
206,0,3,0,2.0,10.4625,0,0,2
207,0,3,1,32.0,15.85,0,0,1
208,1,3,1,26.0,18.7875,1,1,1
209,1,3,0,16.0,7.75,2,1,2
210,1,1,1,40.0,31.0,1,1,1
211,0,3,1,24.0,7.05,0,1,1
212,1,2,0,35.0,21.0,0,1,2
213,0,3,1,22.0,7.25,0,1,1
214,0,2,1,30.0,13.0,0,1,1
215,0,3,1,39.0,7.75,2,0,1
216,1,1,0,31.0,113.275,1,0,2
217,1,3,0,27.0,7.925,0,1,2
218,0,2,1,42.0,27.0,0,0,1
219,1,1,0,32.0,76.2917,1,1,2
220,0,2,1,30.0,10.5,0,1,1
221,1,3,1,16.0,8.05,0,1,1
222,0,2,1,27.0,13.0,0,1,1
223,0,3,1,51.0,8.05,0,1,1
224,0,3,1,25.0,7.8958,0,1,1
225,1,1,1,38.0,90.0,0,0,1
226,0,3,1,22.0,9.35,0,1,1
227,1,2,1,19.0,10.5,0,1,1
228,0,3,1,20.5,7.25,0,1,1
229,0,2,1,18.0,13.0,0,1,1
230,0,3,0,30.0,25.4667,0,0,2
231,1,1,0,35.0,83.475,0,0,3
232,0,3,1,29.0,7.775,0,1,1
233,0,2,1,59.0,13.5,0,1,1
234,1,3,0,5.0,31.3875,0,0,2
235,0,2,1,24.0,10.5,0,1,1
236,0,3,0,21.0,7.55,0,1,2
237,0,2,1,44.0,26.0,0,0,1
238,1,2,0,8.0,26.25,0,0,2
239,0,2,1,19.0,10.5,0,1,1
240,0,2,1,33.0,12.275,0,1,1
241,0,3,0,28.0,14.4542,1,0,2
242,1,3,0,18.0,15.5,2,0,2
243,0,2,1,29.0,10.5,0,1,1
244,0,3,1,22.0,7.125,0,1,1
245,0,3,1,30.0,7.225,1,1,1
246,0,1,1,44.0,90.0,2,0,5
247,0,3,0,25.0,7.775,0,1,2
248,1,2,0,24.0,14.5,0,0,3
249,1,1,1,37.0,52.5542,0,0,1
250,0,2,1,54.0,26.0,0,0,5
251,0,3,1,35.0,7.25,0,1,1
252,0,3,0,29.0,10.4625,0,0,3
253,0,1,1,62.0,26.55,0,1,1
254,0,3,1,30.0,16.1,0,0,1
255,0,3,0,41.0,20.2125,0,0,3
256,1,3,0,29.0,15.2458,1,0,3
257,1,1,0,30.0,79.2,1,1,3
258,1,1,0,30.0,86.5,0,1,2
259,1,1,0,35.0,512.3292,1,1,2
260,1,2,0,50.0,26.0,0,0,3
261,0,3,1,27.0,7.75,2,1,1
262,1,3,1,3.0,31.3875,0,0,4
263,0,1,1,52.0,79.65,0,0,1
264,0,1,1,40.0,0.0,0,1,1
265,0,3,0,16.0,7.75,2,1,2
266,0,2,1,36.0,10.5,0,1,1
267,0,3,1,16.0,39.6875,0,0,1
268,1,3,1,25.0,7.775,0,0,1
269,1,1,0,58.0,153.4625,0,0,3
270,1,1,0,35.0,135.6333,0,1,2
271,0,1,1,17.0,31.0,0,1,1
272,1,3,1,25.0,0.0,0,1,1
273,1,2,0,41.0,19.5,0,0,3
274,0,1,1,37.0,29.7,1,0,1
275,1,3,0,29.0,7.75,2,1,2
276,1,1,0,63.0,77.9583,0,0,2
277,0,3,0,45.0,7.75,0,1,2
278,0,2,1,36.0,0.0,0,1,1
279,0,3,1,7.0,29.125,2,0,4
280,1,3,0,35.0,20.25,0,0,3
281,0,3,1,65.0,7.75,2,1,1
282,0,3,1,28.0,7.8542,0,1,1
283,0,3,1,16.0,9.5,0,1,1
284,1,3,1,19.0,8.05,0,1,1
285,0,1,1,34.0,26.0,0,1,1
286,0,3,1,33.0,8.6625,1,1,1
287,1,3,1,30.0,9.5,0,1,1
288,0,3,1,22.0,7.8958,0,1,1
289,1,2,1,42.0,13.0,0,1,1
290,1,3,0,22.0,7.75,2,1,2
291,1,1,0,26.0,78.85,0,1,2
292,1,1,0,19.0,91.0792,1,0,3
293,0,2,1,36.0,12.875,1,1,1
294,0,3,0,24.0,8.85,0,1,2
295,0,3,1,24.0,7.8958,0,1,1
296,0,1,1,41.0,27.7208,1,1,1
297,0,3,1,23.5,7.2292,1,1,1
298,0,1,0,2.0,151.55,0,0,2
299,1,1,1,28.0,30.5,0,1,1
300,1,1,0,50.0,247.5208,1,0,3
301,1,3,0,20.0,7.75,2,1,2
302,1,3,1,39.0,23.25,2,0,1
303,0,3,1,19.0,0.0,0,1,1
304,1,2,0,33.0,12.35,2,1,2
305,0,3,1,38.0,8.05,0,1,1
306,1,1,1,0.92,151.55,0,0,4
307,1,1,0,32.0,110.8833,1,1,2
308,1,1,0,17.0,108.9,1,0,3
309,0,2,1,30.0,24.0,1,0,1
310,1,1,0,30.0,56.9292,1,1,2
311,1,1,0,24.0,83.1583,1,1,2
312,1,1,0,18.0,262.375,1,0,2
313,0,2,0,26.0,26.0,0,0,3
314,0,3,1,28.0,7.8958,0,1,1
315,0,2,1,43.0,26.25,0,0,1
316,1,3,0,26.0,7.8542,0,1,2
317,1,2,0,24.0,26.0,0,0,3
318,0,2,1,54.0,14.0,0,1,5
319,1,1,0,31.0,164.8667,0,0,2
320,1,1,0,40.0,134.5,1,0,3
321,0,3,1,22.0,7.25,0,1,1
322,0,3,1,27.0,7.8958,0,1,1
323,1,2,0,30.0,12.35,2,1,2
324,1,2,0,22.0,29.0,0,0,3
325,0,3,1,20.0,69.55,0,0,1
326,1,1,0,36.0,135.6333,1,1,2
327,0,3,1,61.0,6.2375,0,1,1
328,1,2,0,36.0,13.0,0,1,3
329,1,3,0,31.0,20.525,0,0,3
330,1,1,0,16.0,57.9792,1,0,2
331,1,3,0,20.0,23.25,2,0,2
332,0,1,1,45.5,28.5,0,1,1
333,0,1,1,38.0,153.4625,0,0,1
334,0,3,1,16.0,18.0,0,0,1
335,1,1,0,39.0,133.65,0,0,3
336,0,3,1,16.0,7.8958,0,1,1
337,0,1,1,29.0,66.6,0,0,1
338,1,1,0,41.0,134.5,1,1,2
339,1,3,1,45.0,8.05,0,1,1
340,0,1,1,45.0,35.5,0,1,1
341,1,2,1,2.0,26.0,0,0,4
342,1,1,0,24.0,263.0,0,0,2
343,0,2,1,28.0,13.0,0,1,1
344,0,2,1,25.0,13.0,0,1,1
345,0,2,1,36.0,13.0,0,1,1
346,1,2,0,24.0,13.0,0,1,2
347,1,2,0,40.0,13.0,0,1,2
348,1,3,0,42.0,16.1,0,0,3
349,1,3,1,3.0,15.9,0,0,4
350,0,3,1,42.0,8.6625,0,1,1
351,0,3,1,23.0,9.225,0,1,1
352,0,1,1,17.0,35.0,0,1,1
353,0,3,1,15.0,7.2292,1,0,1
354,0,3,1,25.0,17.8,0,0,1
355,0,3,1,18.0,7.225,1,1,1
356,0,3,1,28.0,9.5,0,1,1
357,1,1,0,22.0,55.0,0,0,2
358,0,2,0,38.0,13.0,0,1,2
359,1,3,0,18.0,7.8792,2,1,2
360,1,3,0,40.0,7.8792,2,1,2
361,0,3,1,40.0,27.9,0,0,1
362,0,2,1,29.0,27.7208,1,0,1
363,0,3,0,45.0,14.4542,1,0,3
364,0,3,1,35.0,7.05,0,1,1
365,0,3,1,41.0,15.5,2,0,1
366,0,3,1,30.0,7.25,0,1,1
367,1,1,0,60.0,75.25,1,0,3
368,1,3,0,37.0,7.2292,1,1,3
369,1,3,0,28.0,7.75,2,1,2
370,1,1,0,24.0,69.3,1,1,3
371,1,1,1,25.0,55.4417,1,0,1
372,0,3,1,18.0,6.4958,0,0,1
373,0,3,1,19.0,8.05,0,1,1
374,0,1,1,22.0,135.6333,1,1,1
375,0,3,0,3.0,21.075,0,0,2
376,1,1,0,16.0,82.1708,1,0,3
377,1,3,0,22.0,7.25,0,1,2
378,0,1,1,27.0,211.5,1,0,1
379,0,3,1,20.0,4.0125,1,1,1
380,0,3,1,19.0,7.775,0,1,1
381,1,1,0,42.0,227.525,1,1,2
382,1,3,0,1.0,15.7417,1,0,2
383,0,3,1,32.0,7.925,0,1,1
384,1,1,0,35.0,52.0,0,0,3
385,0,3,1,25.0,7.8958,0,1,1
386,0,2,1,18.0,73.5,0,1,1
387,0,3,1,1.0,46.9,0,0,4
388,1,2,0,36.0,13.0,0,1,2
389,0,3,1,25.0,7.7292,2,1,1
390,1,2,0,17.0,12.0,1,1,2
391,1,1,1,36.0,120.0,0,0,1
392,1,3,1,21.0,7.7958,0,1,1
393,0,3,1,28.0,7.925,0,0,1
394,1,1,0,23.0,113.275,1,0,2
395,1,3,0,24.0,16.7,0,0,3
396,0,3,1,22.0,7.7958,0,1,1
397,0,3,0,31.0,7.8542,0,1,2
398,0,2,1,46.0,26.0,0,1,1
399,0,2,1,23.0,10.5,0,1,5
400,1,2,0,28.0,12.65,0,1,3
401,1,3,1,39.0,7.925,0,1,1
402,0,3,1,26.0,8.05,0,1,1
403,0,3,0,21.0,9.825,0,0,2
404,0,3,1,28.0,15.85,0,0,1
405,0,3,0,20.0,8.6625,0,1,2
406,0,2,1,34.0,21.0,0,0,1
407,0,3,1,51.0,7.75,0,1,1
408,1,2,1,3.0,18.75,0,0,4
409,0,3,1,21.0,7.775,0,1,1
410,0,3,0,24.0,25.4667,0,0,2
411,0,3,1,19.0,7.8958,0,1,1
412,0,3,1,31.0,6.8583,2,1,1
413,1,1,0,33.0,90.0,2,0,2
414,0,2,1,36.0,0.0,0,1,1
415,1,3,1,44.0,7.925,0,1,1
416,0,3,0,25.0,8.05,0,1,3
417,1,2,0,34.0,32.5,0,0,3
418,1,2,0,18.0,13.0,0,0,2
419,0,2,1,30.0,13.0,0,1,1
420,0,3,0,10.0,24.15,0,0,2
421,0,3,1,40.0,7.8958,1,1,1
422,0,3,1,21.0,7.7333,2,1,1
423,0,3,1,29.0,7.875,0,1,1
424,0,3,0,28.0,14.4,0,0,3
425,0,3,1,18.0,20.2125,0,0,1
426,0,3,1,22.0,7.25,0,1,1
427,1,2,0,28.0,26.0,0,0,3
428,1,2,0,19.0,26.0,0,1,2
429,0,3,1,32.0,7.75,2,1,1
430,1,3,1,32.0,8.05,0,1,1
431,1,1,1,28.0,26.55,0,1,1
432,1,3,0,37.0,16.1,0,0,3
433,1,2,0,42.0,26.0,0,0,3
434,0,3,1,17.0,7.125,0,1,1
435,0,1,1,50.0,55.9,0,0,1
436,1,1,0,14.0,120.0,0,0,2
437,0,3,0,21.0,34.375,0,0,2
438,1,2,0,24.0,18.75,0,0,3
439,0,1,1,64.0,263.0,0,0,1
440,0,2,1,31.0,10.5,0,1,1
441,1,2,0,45.0,26.25,0,0,3
442,0,3,1,20.0,9.5,0,1,1
443,0,3,1,25.0,7.775,0,0,1
444,1,2,0,28.0,13.0,0,1,2
445,1,3,1,37.0,8.1125,0,1,1
446,1,1,1,4.0,81.8583,0,0,4
447,1,2,0,13.0,19.5,0,0,2
448,1,1,1,34.0,26.55,0,1,1
449,1,3,0,5.0,19.2583,1,0,2
450,1,1,1,52.0,30.5,0,1,5
451,0,2,1,36.0,27.75,0,0,1
452,0,3,1,37.0,19.9667,0,0,1
453,0,1,1,30.0,27.75,1,1,1
454,1,1,1,49.0,89.1042,1,0,1
455,0,3,1,28.0,8.05,0,1,1
456,1,3,1,29.0,7.8958,1,1,1
457,0,1,1,65.0,26.55,0,1,1
458,1,1,0,35.0,51.8625,0,0,3
459,1,2,0,50.0,10.5,0,1,2
460,0,3,1,26.0,7.75,2,1,1
461,1,1,1,48.0,26.55,0,1,1
462,0,3,1,34.0,8.05,0,1,1
463,0,1,1,47.0,38.5,0,1,1
464,0,2,1,48.0,13.0,0,1,1
465,0,3,1,38.0,8.05,0,1,1
466,0,3,1,38.0,7.05,0,1,1
467,0,2,1,42.0,0.0,0,1,1
468,0,1,1,56.0,26.55,0,1,1
469,0,3,1,30.0,7.725,2,1,1
470,1,3,0,0.75,19.2583,1,0,2
471,0,3,1,36.0,7.25,0,1,1
472,0,3,1,38.0,8.6625,0,1,1
473,1,2,0,33.0,27.75,0,0,3
474,1,2,0,23.0,13.7917,1,1,3
475,0,3,0,22.0,9.8375,0,1,2
476,0,1,1,16.0,52.0,0,1,1
477,0,2,1,34.0,21.0,0,0,1
478,0,3,1,29.0,7.0458,0,0,1
479,0,3,1,22.0,7.5208,0,1,1
480,1,3,0,2.0,12.2875,0,0,2
481,0,3,1,9.0,46.9,0,0,4
482,0,2,1,17.0,0.0,0,1,1
483,0,3,1,50.0,8.05,0,1,1
484,1,3,0,63.0,9.5875,0,1,3
485,1,1,1,25.0,91.0792,1,0,1
486,0,3,0,40.0,25.4667,0,0,2
487,1,1,0,35.0,90.0,0,0,3
488,0,1,1,58.0,29.7,1,1,1
489,0,3,1,30.0,8.05,0,1,1
490,1,3,1,9.0,15.9,0,0,4
491,0,3,1,24.0,19.9667,0,0,1
492,0,3,1,21.0,7.25,0,1,1
493,0,1,1,55.0,30.5,0,1,1
494,0,1,1,71.0,49.5042,1,1,1
495,0,3,1,21.0,8.05,0,1,1
496,0,3,1,33.0,14.4583,1,1,1
497,1,1,0,54.0,78.2667,1,0,2
498,0,3,1,34.0,15.1,0,1,1
499,0,1,0,25.0,151.55,0,0,3
500,0,3,1,24.0,7.7958,0,1,1
501,0,3,1,17.0,8.6625,0,1,1
502,0,3,0,21.0,7.75,2,1,2
503,0,3,0,40.0,7.6292,2,1,2
504,0,3,0,37.0,9.5875,0,1,2
505,1,1,0,16.0,86.5,0,1,2
506,0,1,1,18.0,108.9,1,0,1
507,1,2,0,33.0,26.0,0,0,3
508,1,1,1,39.0,26.55,0,1,1
509,0,3,1,28.0,22.525,0,1,1
510,1,3,1,26.0,56.4958,0,1,1
511,1,3,1,29.0,7.75,2,1,1
512,0,3,1,40.0,8.05,0,1,1
513,1,1,1,36.0,26.2875,0,1,1
514,1,1,0,54.0,59.4,1,0,3
515,0,3,1,24.0,7.4958,0,1,1
516,0,1,1,47.0,34.0208,0,1,1
517,1,2,0,34.0,10.5,0,1,3
518,0,3,1,36.0,24.15,2,1,1
519,1,2,0,36.0,26.0,0,0,3
520,0,3,1,32.0,7.8958,0,1,1
521,1,1,0,30.0,93.5,0,1,2
522,0,3,1,22.0,7.8958,0,1,1
523,0,3,1,25.0,7.225,1,1,1
524,1,1,0,44.0,57.9792,1,0,3
525,0,3,1,28.0,7.2292,1,1,1
526,0,3,1,40.5,7.75,2,1,1
527,1,2,0,50.0,10.5,0,1,2
528,0,1,1,25.0,221.7792,0,1,1
529,0,3,1,39.0,7.925,0,1,1
530,0,2,1,23.0,11.5,0,0,1
531,1,2,0,2.0,26.0,0,0,2
532,0,3,1,34.0,7.2292,1,1,1
533,0,3,1,17.0,7.2292,1,0,1
534,1,3,0,43.0,22.3583,1,0,3
535,0,3,0,30.0,8.6625,0,1,2
536,1,2,0,7.0,26.25,0,0,2
537,0,1,1,45.0,26.55,0,1,5
538,1,1,0,30.0,106.425,1,1,2
539,0,3,1,32.0,14.5,0,1,1
540,1,1,0,22.0,49.5,1,0,2
541,1,1,0,36.0,71.0,0,0,2
542,0,3,0,9.0,31.275,0,0,2
543,0,3,0,11.0,31.275,0,0,2
544,1,2,1,32.0,26.0,0,0,1
545,0,1,1,50.0,106.425,1,0,1
546,0,1,1,64.0,26.0,0,1,1
547,1,2,0,19.0,26.0,0,0,3
548,1,2,1,19.0,13.8625,1,1,1
549,0,3,1,33.0,20.525,0,0,1
550,1,2,1,8.0,36.75,0,0,4
551,1,1,1,17.0,110.8833,1,0,1
552,0,2,1,27.0,26.0,0,1,1
553,0,3,1,30.0,7.8292,2,1,1
554,1,3,1,22.0,7.225,1,1,1
555,1,3,0,22.0,7.775,0,1,2
556,0,1,1,62.0,26.55,0,1,1
557,1,1,0,48.0,39.6,1,0,5
558,0,1,1,32.0,227.525,1,1,1
559,1,1,0,39.0,79.65,0,0,3
560,1,3,0,36.0,17.4,0,0,3
561,0,3,1,25.0,7.75,2,1,1
562,0,3,1,40.0,7.8958,0,1,1
563,0,2,1,28.0,13.5,0,1,1
564,0,3,1,36.0,8.05,0,1,1
565,0,3,0,21.0,8.05,0,1,2
566,0,3,1,24.0,24.15,0,0,1
567,0,3,1,19.0,7.8958,0,1,1
568,0,3,0,29.0,21.075,0,0,3
569,0,3,1,32.0,7.2292,1,1,1
570,1,3,1,32.0,7.8542,0,1,1
571,1,2,1,62.0,10.5,0,1,1
572,1,1,0,53.0,51.4792,0,0,3
573,1,1,1,36.0,26.3875,0,1,1
574,1,3,0,35.0,7.75,2,1,2
575,0,3,1,16.0,8.05,0,1,1
576,0,3,1,19.0,14.5,0,1,1
577,1,2,0,34.0,13.0,0,1,2
578,1,1,0,39.0,55.9,0,0,3
579,0,3,0,16.0,14.4583,1,0,3
580,1,3,1,32.0,7.925,0,1,1
581,1,2,0,25.0,30.0,0,0,2
582,1,1,0,39.0,110.8833,1,0,3
583,0,2,1,54.0,26.0,0,1,1
584,0,1,1,36.0,40.125,1,1,1
585,0,3,1,31.0,8.7125,1,1,1
586,1,1,0,18.0,79.65,0,0,2
587,0,2,1,47.0,15.0,0,1,1
588,1,1,1,60.0,79.2,1,0,1
589,0,3,1,22.0,8.05,0,1,1
590,0,3,1,33.0,8.05,0,1,1
591,0,3,1,35.0,7.125,0,1,1
592,1,1,0,52.0,78.2667,1,0,3
593,0,3,1,47.0,7.25,0,1,1
594,0,3,0,19.0,7.75,2,0,2
595,0,2,1,37.0,26.0,0,0,1
596,0,3,1,36.0,24.15,0,0,1
597,1,2,0,29.0,33.0,0,1,2
598,0,3,1,49.0,0.0,0,1,1
599,0,3,1,34.0,7.225,1,1,1
600,1,1,1,49.0,56.9292,1,0,5
601,1,2,0,24.0,27.0,0,0,3
602,0,3,1,20.0,7.8958,0,1,1
603,0,1,1,34.0,42.4,0,1,1
604,0,3,1,44.0,8.05,0,1,1
605,1,1,1,35.0,26.55,1,1,1
606,0,3,1,36.0,15.55,0,0,1
607,0,3,1,30.0,7.8958,0,1,1
608,1,1,1,27.0,30.5,0,1,1
609,1,2,0,22.0,41.5792,1,0,3
610,1,1,0,40.0,153.4625,0,1,2
611,0,3,0,39.0,31.275,0,0,3
612,0,3,1,16.0,7.05,0,1,1
613,1,3,0,32.0,15.5,2,0,2
614,0,3,1,29.0,7.75,2,1,1
615,0,3,1,35.0,8.05,0,1,1
616,1,2,0,24.0,65.0,0,0,2
617,0,3,1,34.0,14.4,0,0,1
618,0,3,0,26.0,16.1,0,0,3
619,1,2,0,4.0,39.0,0,0,2
620,0,2,1,26.0,10.5,0,1,1
621,0,3,1,27.0,14.4542,1,0,1
622,1,1,1,42.0,52.5542,0,0,1
623,1,3,1,20.0,15.7417,1,0,1
